         30819661 function calls (30815093 primitive calls) in 57.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 12122412   34.099    0.000   34.099    0.000 path.py:203(intersect)
14336/14293    8.192    0.001    8.454    0.001 runtime.py:769(__call__)
   967032    3.381    0.000   37.415    0.000 path.py:142(check_border_collision)
     6072    1.283    0.000   39.767    0.007 car.py:78(get_sensor_data)
      132    1.228    0.009    1.230    0.009 quartz.py:57(_get_pyglet_ImageData_from_source_at_index)
  1085112    0.992    0.000    1.513    0.000 lib.py:87(errcheck)
    32016    0.656    0.000    1.977    0.000 vertexdomain.py:274(draw)
    73430    0.580    0.000    1.058    0.000 vertexbuffer.py:292(__init__)
1158857/1158654    0.387    0.000    0.700    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
   104056    0.362    0.000    0.470    0.000 car.py:165(rotate_point)
      192    0.189    0.001    0.246    0.001 __init__.py:1085(_ensure_string_data)
    36619    0.189    0.000    1.873    0.000 vertexdomain.py:158(__init__)
  1857859    0.168    0.000    0.168    0.000 {built-in method math.floor}
   147996    0.164    0.000    0.164    0.000 __init__.py:509(cast)
    32016    0.162    0.000    0.385    0.000 sprite.py:145(set_state)
    26014    0.159    0.000    0.699    0.000 car.py:177(calculate_car_lines)
    36427    0.158    0.000    0.403    0.000 shapes.py:798(_update_position)
      268    0.150    0.001    0.150    0.001 {method 'join' of 'bytes' objects}
    73435    0.134    0.000    0.219    0.000 gl_info.py:145(have_version)
    73430    0.133    0.000    1.284    0.000 vertexbuffer.py:383(__init__)
    96048    0.127    0.000    0.389    0.000 vertexbuffer.py:390(bind)
    36427    0.125    0.000    3.460    0.000 shapes.py:758(__init__)
      192    0.121    0.001    0.121    0.001 __init__.py:1078(<listcomp>)
  1573360    0.117    0.000    0.117    0.000 {built-in method builtins.isinstance}
  1338292    0.116    0.000    0.116    0.000 sprite.py:462(x)
    96048    0.116    0.000    0.253    0.000 vertexbuffer.py:310(bind)
    96048    0.113    0.000    0.247    0.000 vertexbuffer.py:313(unbind)
  1338292    0.109    0.000    0.109    0.000 sprite.py:475(y)
  1169280    0.103    0.000    0.103    0.000 {built-in method builtins.hasattr}
   947198    0.101    0.000    0.101    0.000 {built-in method math.dist}
    73430    0.099    0.000    1.642    0.000 vertexbuffer.py:89(create_mappable_buffer)
     2616    0.083    0.000    0.084    0.000 __init__.py:391(__getitem__)
    19967    0.080    0.000    0.122    0.000 sprite.py:396(_update_position)
    32016    0.079    0.000    0.169    0.000 sprite.py:153(unset_state)
    36931    0.079    0.000    2.435    0.000 __init__.py:437(_get_domain)
    12142    0.075    0.000    0.075    0.000 neural_network.py:31(sigmoid)
    18084    0.074    0.000    0.077    0.000 __init__.py:48(create_string_buffer)
    74366    0.069    0.000    0.259    0.000 vertexattribute.py:310(get_region)
    73430    0.068    0.000    0.293    0.000 vertexdomain.py:90(create_attribute_usage)
    74366    0.066    0.000    0.181    0.000 vertexbuffer.py:422(get_region)
    73430    0.065    0.000    0.072    0.000 vertexattribute.py:272(__init__)
    73272    0.062    0.000    0.091    0.000 base.py:396(delete_buffer)
    36427    0.059    0.000    0.245    0.000 shapes.py:822(_update_color)
     6435    0.058    0.000    0.094    0.000 runtime.py:690(__init__)
     2009    0.058    0.000    0.067    0.000 base.py:326(set_current)
    56394    0.055    0.000    0.256    0.000 vertexdomain.py:592(vertices)
    32016    0.054    0.000    0.099    0.000 vertexattribute.py:521(set_pointer)
    93829    0.052    0.000    0.100    0.000 vertexbuffer.py:473(invalidate)
    32016    0.050    0.000    0.095    0.000 vertexattribute.py:477(set_pointer)
    12204    0.050    0.000    0.140    0.000 runtime.py:468(send_message)
     2001    0.050    0.000    0.056    0.000 __init__.py:1342(clear)
    32016    0.049    0.000    0.094    0.000 vertexattribute.py:390(set_pointer)
    73435    0.047    0.000    0.047    0.000 gl_info.py:166(<listcomp>)
     1995    0.046    0.000   44.087    0.022 game.py:63(update)
    74366    0.044    0.000    0.044    0.000 vertexbuffer.py:467(__init__)
     6190    0.044    0.000    0.044    0.000 {built-in method numpy.array}
   109281    0.043    0.000    0.068    0.000 shapes.py:153(__hash__)
   610229    0.043    0.000    0.043    0.000 {method 'append' of 'list' objects}
     6072    0.043    0.000   40.032    0.007 car.py:61(ai_input)
    36931    0.042    0.000    0.057    0.000 __init__.py:249(_parse_data)
    36834    0.042    0.000    0.042    0.000 allocation.py:279(dealloc)
   311443    0.040    0.000    0.040    0.000 {built-in method math.cos}
    73592    0.040    0.000    0.040    0.000 {method 'match' of 're.Pattern' objects}
   305372    0.038    0.000    0.038    0.000 {built-in method math.sin}
36643/36619    0.037    0.000    0.086    0.000 __init__.py:463(_add_group)
    36931    0.036    0.000    0.189    0.000 vertexdomain.py:450(colors)
    36931    0.035    0.000    2.616    0.000 __init__.py:347(add)
     8134    0.035    0.000    0.225    0.000 runtime.py:937(__new__)
      192    0.034    0.000    0.560    0.003 __init__.py:906(blit_to_texture)
    73430    0.034    0.000    0.162    0.000 vertexattribute.py:221(create_attribute)
    36619    0.033    0.000    2.221    0.000 vertexdomain.py:125(create_domain)
    32016    0.033    0.000    0.078    0.000 vertexattribute.py:518(enable)
    38/36    0.032    0.001    0.034    0.001 {built-in method _imp.create_dynamic}
    36619    0.032    0.000    0.073    0.000 vertexattribute.py:511(__init__)
     2001    0.031    0.000    2.581    0.001 __init__.py:557(draw)
      334    0.031    0.000    0.031    0.000 {method 'read' of '_io.BufferedReader' objects}
    36960    0.031    0.000    0.031    0.000 _weakrefset.py:37(__init__)
    32016    0.029    0.000    0.074    0.000 vertexattribute.py:387(enable)
    32016    0.029    0.000    0.073    0.000 vertexattribute.py:474(enable)
    73272    0.029    0.000    0.119    0.000 vertexbuffer.py:343(__del__)
    94615    0.029    0.000    0.029    0.000 {built-in method builtins.min}
    36427    0.028    0.000    0.084    0.000 shapes.py:118(__init__)
   146889    0.028    0.000    0.028    0.000 {method 'split' of 'str' objects}
     6108    0.028    0.000    0.055    0.000 runtime.py:503(send_super)
    36967    0.027    0.000    0.033    0.000 allocation.py:134(alloc)
    36956    0.026    0.000    0.057    0.000 __init__.py:618(__init__)
    36619    0.025    0.000    0.055    0.000 vertexattribute.py:383(__init__)
      192    0.024    0.000    0.028    0.000 __init__.py:1404(create)
   146880    0.024    0.000    0.024    0.000 {method 'group' of 're.Match' objects}
    18430    0.022    0.000    0.034    0.000 runtime.py:419(get_selector)
    36931    0.022    0.000    0.084    0.000 vertexdomain.py:262(create)
    36619    0.022    0.000    0.315    0.000 vertexdomain.py:133(<listcomp>)
     6072    0.021    0.000   40.396    0.007 car.py:28(update)
    96281    0.020    0.000    0.021    0.000 {built-in method builtins.max}
     6071    0.020    0.000    0.027    0.000 car.py:127(apply_traction)
    36648    0.020    0.000    0.025    0.000 _weakrefset.py:82(add)
    26014    0.020    0.000    0.024    0.000 sprite.py:601(height)
    36440    0.019    0.000    0.019    0.000 __init__.py:322(__init__)
79671/79666    0.019    0.000    0.387    0.000 __init__.py:334(__getattr__)
      132    0.019    0.000    1.252    0.009 quartz.py:93(decode)
   177031    0.018    0.000    0.018    0.000 {built-in method math.radians}
    43058    0.017    0.000    0.032    0.000 runtime.py:412(ensure_bytes)
    36570    0.016    0.000    0.020    0.000 _weakrefset.py:39(_remove)
      200    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
     6071    0.016    0.000    0.225    0.000 car.py:40(update_checkpoints)
     6073    0.016    0.000    0.016    0.000 {built-in method numpy.arange}
    36834    0.016    0.000    0.058    0.000 vertexdomain.py:406(delete)
    78925    0.015    0.000    0.015    0.000 {built-in method math.atan2}
    26014    0.015    0.000    0.019    0.000 sprite.py:588(width)
     2002    0.015    0.000   45.833    0.023 clock.py:233(call_scheduled_functions)
   134412    0.015    0.000    0.015    0.000 sprite.py:488(rotation)
     2001    0.014    0.000    7.201    0.004 cocoa.py:126(step)
    36931    0.014    0.000    0.049    0.000 vertexdomain.py:238(_safe_alloc)
    36372    0.014    0.000    0.071    0.000 shapes.py:171(__del__)
    36548    0.014    0.000    0.014    0.000 vertexdomain.py:229(__del__)
    10295    0.014    0.000    0.035    0.000 runtime.py:990(__getattr__)
   153849    0.014    0.000    0.014    0.000 {built-in method builtins.abs}
1034/1024    0.014    0.000    0.019    0.000 {built-in method builtins.__build_class__}
12158/12147    0.013    0.000    0.014    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    88851    0.013    0.000    0.097    0.000 {built-in method builtins.getattr}
      317    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
113101/112319    0.013    0.000    0.013    0.000 {built-in method builtins.hash}
   111663    0.013    0.000    0.013    0.000 {built-in method builtins.id}
     2002    0.013    0.000   49.842    0.025 base.py:213(idle)
    36931    0.012    0.000    0.012    0.000 vertexdomain.py:347(__init__)
     6106    0.011    0.000    0.011    0.000 runtime.py:431(get_superclass_of_object)
        9    0.011    0.001    0.011    0.001 {built-in method _ctypes.dlopen}
14336/14293    0.011    0.000    8.465    0.001 runtime.py:803(__call__)
    36619    0.011    0.000    0.011    0.000 allocation.py:92(__init__)
     6071    0.010    0.000    0.108    0.000 neural_network.py:21(forward_propagation)
    43161    0.010    0.000    0.010    0.000 {method 'encode' of 'str' objects}
     6071    0.009    0.000    0.009    0.000 {method 'flatten' of 'numpy.ndarray' objects}
    32016    0.009    0.000    0.009    0.000 allocation.py:338(get_allocated_regions)
    73735    0.009    0.000    0.009    0.000 {method 'strip' of 'str' objects}
    77492    0.009    0.000    0.009    0.000 {built-in method _ctypes.POINTER}
     2220    0.009    0.000    0.009    0.000 {method 'randn' of 'numpy.random.mtrand.RandomState' objects}
     4068    0.008    0.000    0.011    0.000 runtime.py:663(set_instance_variable)
69539/69232    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    10295    0.008    0.000    0.008    0.000 runtime.py:880(get_instance_method)
     4095    0.008    0.000    0.107    0.000 runtime.py:819(__new__)
        2    0.007    0.004    0.008    0.004 cocoa.py:47(get_screens)
    12143    0.007    0.000    0.023    0.000 <__array_function__ internals>:2(dot)
    73477    0.007    0.000    0.007    0.000 {built-in method _ctypes.sizeof}
     2006    0.007    0.000    0.134    0.000 cocoa.py:49(__enter__)
     2002    0.007    0.000    0.008    0.000 clock.py:208(update_time)
     6575    0.007    0.000    0.050    0.000 sprite.py:499(rotation)
     2009    0.006    0.000    0.092    0.000 cocoa.py:307(set_current)
      176    0.006    0.000    0.007    0.000 base.py:377(delete_texture)
     4103    0.006    0.000    0.009    0.000 runtime.py:422(get_class)
     6192    0.006    0.000    0.047    0.000 sprite.py:470(x)
      133    0.006    0.000    0.006    0.000 {built-in method io.open}
    38721    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
     6071    0.005    0.000    0.061    0.000 car.py:75(flatten_inputs)
     6071    0.005    0.000    0.005    0.000 car.py:157(apply_drag)
     4011    0.005    0.000    0.014    0.000 _weakrefset.py:59(__iter__)
    36427    0.005    0.000    0.005    0.000 {built-in method math.hypot}
     6192    0.005    0.000    0.037    0.000 sprite.py:483(y)
     4041    0.005    0.000    0.013    0.000 runtime.py:914(__getattr__)
     2032    0.005    0.000    0.007    0.000 runtime.py:667(get_instance_variable)
     2007    0.005    0.000    2.646    0.001 event.py:361(dispatch_event)
     2006    0.005    0.000    0.051    0.000 cocoa.py:53(__exit__)
    36427    0.005    0.000    0.005    0.000 {built-in method math.tan}
     4068    0.005    0.000    0.050    0.000 runtime.py:1194(initWithObject_)
     2001    0.005    0.000    1.219    0.001 cocoa.py:334(flip)
    14336    0.005    0.000    0.005    0.000 runtime.py:757(get_callable)
     2001    0.005    0.000    0.010    0.000 queue.py:154(get)
       12    0.005    0.000    1.960    0.163 game.py:19(create_new_generation)
    22009    0.005    0.000    0.005    0.000 runtime.py:724(ctype_for_encoding)
    14336    0.004    0.000    0.004    0.000 runtime.py:795(__init__)
     1293    0.004    0.000    0.004    0.000 {built-in method posix.stat}
       40    0.004    0.000    0.084    0.002 runtime.py:860(cache_instance_methods)
     6435    0.004    0.000    0.008    0.000 runtime.py:707(<listcomp>)
      202    0.004    0.000    0.004    0.000 {built-in method io.open_code}
     6005    0.004    0.000    0.006    0.000 threading.py:256(__enter__)
     2032    0.004    0.000    0.030    0.000 runtime.py:1201(dealloc)
     2006    0.004    0.000    0.005    0.000 _weakrefset.py:27(__exit__)
      192    0.004    0.000    0.522    0.003 __init__.py:1012(_convert)
    36585    0.004    0.000    0.004    0.000 {method 'discard' of 'set' objects}
       11    0.004    0.000    0.679    0.062 __init__.py:36(<module>)
    12204    0.003    0.000    0.003    0.000 runtime.py:439(x86_should_use_stret)
     2001    0.003    0.000    1.224    0.001 __init__.py:293(flip)
     2001    0.003    0.000    0.005    0.000 clock.py:351(get_sleep_time)
     2003    0.003    0.000    0.006    0.000 threading.py:351(notify)
    17892    0.003    0.000    0.024    0.000 __init__.py:68(c_buffer)
    37797    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.003    0.003   57.067   57.067 base.py:152(run)
     2002    0.003    0.000    0.013    0.000 threading.py:535(set)
    36427    0.003    0.000    0.003    0.000 {built-in method math.degrees}
     2006    0.003    0.000    2.648    0.001 __init__.py:1350(dispatch_event)
     4041    0.003    0.000    0.003    0.000 runtime.py:897(get_class_method)
     2007    0.003    0.000    0.095    0.000 __init__.py:289(switch_to)
     2001    0.003    0.000    0.013    0.000 base.py:92(dispatch_posted_events)
      524    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
    12142    0.003    0.000    0.003    0.000 car.py:148(normalize_angle)
     6005    0.003    0.000    0.004    0.000 threading.py:259(__exit__)
     2002    0.003    0.000    0.006    0.000 threading.py:546(clear)
     6005    0.003    0.000    0.003    0.000 {method '__enter__' of '_thread.lock' objects}
     2001    0.003    0.000    2.640    0.001 game.py:51(on_draw)
     2002    0.002    0.000    0.004    0.000 base.py:252(has_exit)
     6080    0.002    0.000    0.046    0.000 _asarray.py:14(asarray)
        1    0.002    0.002    0.080    0.080 glext_arb.py:36(<module>)
      110    0.002    0.000    0.018    0.000 genetic_algo.py:19(update_networks)
      504    0.002    0.000    0.645    0.001 sprite.py:193(__init__)
     2486    0.002    0.000    0.089    0.000 lib_agl.py:47(link_GL)
     2006    0.002    0.000    0.002    0.000 _weakrefset.py:21(__enter__)
     2002    0.002    0.000    0.008    0.000 threading.py:374(notify_all)
     8456    0.002    0.000    0.002    0.000 {built-in method _ctypes.byref}
    12143    0.002    0.000    0.002    0.000 multiarray.py:706(dot)
    38/28    0.002    0.000    0.012    0.000 {built-in method _imp.exec_dynamic}
   162/44    0.002    0.000    0.005    0.000 sre_parse.py:493(_parse)
    12204    0.002    0.000    0.002    0.000 runtime.py:450(should_use_fpret)
      108    0.002    0.000    0.002    0.000 vertexbuffer.py:426(resize)
     4886    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x10d154d48}
     1110    0.001    0.000    0.010    0.000 neural_network.py:13(set_weights)
     2616    0.001    0.000    0.086    0.000 __init__.py:384(__getattr__)
     2200    0.001    0.000    0.002    0.000 random.py:238(_randbelow_with_getrandbits)
     2115    0.001    0.000    0.008    0.000 __init__.py:76(CFUNCTYPE)
      504    0.001    0.000    0.050    0.000 sprite.py:382(_create_vertex_list)
      194    0.001    0.000    0.001    0.000 runtime.py:528(parse_type_encoding)
      388    0.001    0.000    0.002    0.000 util.py:45(asbytes)
     7187    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
      192    0.001    0.000    0.590    0.003 __init__.py:797(create_texture)
     2714    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     8027    0.001    0.000    0.001    0.000 __init__.py:974(context)
     4007    0.001    0.000    0.001    0.000 clock.py:143(__lt__)
       12    0.001    0.000    0.999    0.083 path.py:151(get_road_sprites)
     2009    0.001    0.000    0.002    0.000 __init__.py:348(__setattr__)
     5551    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.323    0.323 sprite.py:36(<module>)
     2366    0.001    0.000    0.002    0.000 sprite.py:168(__hash__)
     2005    0.001    0.000    0.002    0.000 {built-in method _heapq.heappushpop}
     2714    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.001    0.001    0.023    0.023 pil.py:36(<module>)
     2002    0.001    0.000    0.002    0.000 threading.py:271(_is_owned)
      201    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:921(get_code)
        1    0.001    0.001    0.003    0.003 dds.py:36(<module>)
       33    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     2006    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
     2006    0.001    0.000    0.001    0.000 _weakrefset.py:17(__init__)
      132    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.001    0.001    0.002    0.002 vertexdomain.py:36(<module>)
     6471    0.001    0.000    0.001    0.000 {method 'replace' of 'bytes' objects}
     6512    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     2200    0.001    0.000    0.003    0.000 random.py:344(choice)
    18084    0.001    0.000    0.001    0.000 {built-in method sys.audit}
      120    0.001    0.000    0.950    0.008 car.py:6(__init__)
     2003    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.001    0.001    0.001    0.001 s3tc.py:36(<module>)
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
        1    0.001    0.001    0.001    0.001 vertexattribute.py:36(<module>)
        1    0.001    0.001    0.001    0.001 vertexbuffer.py:36(<module>)
      253    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      336    0.001    0.000    0.001    0.000 __init__.py:666(__init__)
